Hospital_ID,Hospital_Name,Academic_Medical_Center,City,State,Patients,Perc_Readmitted_30d,Perc_PrimaryCare_14d,Perc_Emergency_30d
10001,Southeast Alabama Medical Center,NO,Dothan,AL,1549,12.9,19.8,13.6
10006,Eliza Coffee Memorial Hospital,NO,Florence,AL,991,10.5,20.1,12.8
10011,St Vincent's East,NO,Birmingham,AL,882,14.5,11.0,16.6
10012,DeKalb Regional Medical Center,NO,Fort Payne,AL,235,8.4,11.9,12.8
10016,Shelby Baptist Medical Center,NO,Alabaster,AL,658,15.1,22.0,19.0
10019,Helen Keller Hospital,NO,Sheffield,AL,581,8.5,18.3,11.6
10023,Baptist Medical Center South,NO,Montgomery,AL,1262,12.8,16.5,15.7
10024,Jackson Hospital and Clinic,NO,Montgomery,AL,905,11.0,19.2,12.8
10029,East Alabama Medical Center,NO,Opelika,AL,1198,11.2,19.2,11.9
10033,University of Alabama Hospital,YES,Birmingham,AL,1839,17.2,20.3,19.1
10035,Cullman Regional Medical Center,NO,Cullman,AL,434,10.6,14.4,12.5
10038,Stringfellow Memorial Hospital,NO,Anniston,AL,260,14.5,21.8,14.9
10039,Huntsville Hospital,NO,Huntsville,AL,3307,12.6,15.6,15.0
10040,Gadsden Regional Medical Center,NO,Gadsden,AL,777,10.9,15.8,13.4
10046,Riverview Regional Med Ctr,NO,Gadsden,AL,628,14.4,17.9,16.6
10055,Flowers Hospital,NO,Dothan,AL,1241,10.4,18.9,10.9
10056,St Vincent's Birmingham,NO,Birmingham,AL,1825,11.3,16.4,14.9
10078,NE Alabama Regional Med Ctr,NO,Anniston,AL,927,12.7,20.1,15.8
10083,South Baldwin Regional Med Ctr,NO,Foley,AL,308,13.2,23.9,14.9
10085,Decatur General Hospital,NO,Decatur,AL,541,10.6,21.9,15.1
10089,Walker Baptist Medical Center,NO,Jasper,AL,299,12.8,17.4,12.7
10090,Providence Hospital,NO,Mobile,AL,1085,11.0,17.1,13.2
10092,DCH Regional Medical Center,NO,Tuscaloosa,AL,1376,12.2,22.3,12.8
10100,Thomas Hospital,NO,Fairhope,AL,822,12.4,22.3,12.4
10103,Princeton Baptist Medical Ctr,NO,Birmingham,AL,1008,14.0,19.1,13.1
10104,Trinity Medical Center,NO,Birmingham,AL,945,11.6,18.5,10.9
10113,Mobile Infirmary Medical Center,NO,Mobile,AL,1916,12.3,15.8,12.5
10114,UAB Medical West,NO,Bessemer,AL,273,11.2,18.6,13.3
10118,Vaughan Regional Medical Center,NO,Selma,AL,192,10.3,0.0,16.3
10131,Crestwood Medical Center,NO,Huntsville,AL,904,10.9,14.4,13.2
10139,Brookwood Medical Center,NO,Birmingham,AL,1608,11.5,15.2,12.6
10144,Springhill Memorial Hospital,NO,Mobile,AL,641,13.8,20.1,14.7
10145,Northport Medical Center,NO,Northport,AL,329,8.0,11.2,9.5
10167,UAB Highlands,NO,Birmingham,AL,228,12.1,11.0,14.3
10168,Jack Hughston Memorial Hospital,NO,Phenix City,AL,640,7.8,14.0,10.5
20001,Providence Alaska Medical Center,NO,Anchorage,AK,1005,12.2,19.8,17.3
20006,Mat-Su Regional Medical Center,NO,Palmer,AK,225,12.5,17.8,13.8
20017,Alaska Regional Hospital,NO,Anchorage,AK,546,7.8,19.4,15.9
20026,Alaska Native Medical Center,NO,Anchorage,AK,245,9.3,17.2,0.0
30002,Banner Good Samaritan Med Ctr,NO,Phoenix,AZ,1580,14.6,21.8,16.8
30006,Tucson Medical Center,NO,Tucson,AZ,1921,11.9,22.3,14.8
30007,Verde Valley Medical Center,NO,Cottonwood,AZ,481,8.4,18.7,11.7
30010,Carondelet St. Mary's Hospital,NO,Tucson,AZ,495,12.5,28.4,15.2
30011,Carondelet St. Joseph's Hospital,NO,Tucson,AZ,1020,12.4,18.1,11.8
30012,Yavapai Regional Medical Center,NO,Prescott,AZ,1042,7.7,17.7,15.7
30013,Yuma Regional Medical Center,NO,Yuma,AZ,1251,12.5,22.8,13.9
30014,John C. Lincoln North Mountain,NO,Phoenix,AZ,698,15.0,24.4,17.7
30016,Casa Grande Regional Med Ctr,NO,Casa Grande,AZ,257,13.2,20.2,16.4
30023,Flagstaff Medical Center,NO,Flagstaff,AZ,987,10.0,22.7,16.2
30024,St. Joseph's Hosp & Med Ctr,NO,Phoenix,AZ,1111,14.5,21.5,17.6
30030,Phoenix Baptist Hospital,NO,Phoenix,AZ,231,15.2,25.6,20.9
30036,Chandler Regional Medical Ctr,NO,Chandler,AZ,521,18.7,40.1,22.4
30037,St. Luke's Medical Center,NO,Phoenix,AZ,350,11.5,19.5,14.4
30038,Scottsdale Healthcare-Osborn,NO,Scottsdale,AZ,1004,13.7,27.0,16.5
